학년	이수구분이수구분	학수번호-수업번호학수번호-수업번호	교과목명교과목명	교강사교강사	학점학점	시간시간	강의실강의실	강의평강의평	담은 인원담은 인원	유의사항유의사항
3	교양필수	GEN5026-10117	테크노경영학(스타트업종합설계)	박찬용	3	월(13:00-14:30)	제1공학관404강의실,		42	공학인증구분
3	전공심화	ITE3013-11083	랜덤프로세스	홍송남	3	월(14:30-16:00),월(16:00-17:30)	공업센터PC실(613)		14	
3	전공심화	SCE3001-11084	반도체소자분석기술	김형진	3	화(10:30-12:00),목(13:00-14:30)	반도체공학과406강의실,제2공학관510강의실(녹화전용)		6	
2	전공기초(필수)	COE3051-11268	공업수학1	김재희	3	화(13:00-14:30),금(13:00-14:30)	제1공학관508강의실,제1공학관303강의실		59	공학인증구분
3	전공핵심	ELE3074-11077	전자회로1	박상규	4	목(15:00-16:30),목(16:30-18:00),월(17:30-19:30)	제2공학관510강의실(녹화전용),제2공학관510강의실(녹화전용),반도체공학과회로설계실험실(407)		14	
3	전공핵심	ENE1004-11080	컴퓨터구조	정두석	4	수(13:00-14:30),수(14:30-16:00),화(16:00-18:00)	제1공학관508강의실,제1공학관508강의실,반도체공학과회로설계실험실(407)		17	
3	전공핵심	ENE2006-11081	반도체회로공정	이승백	3	금(09:00-10:30),금(10:30-12:00)	반도체공학과406강의실		10	
3	교양필수	GEN5026-12795	테크노경영학(스타트업종합설계)	이재석	3	월(13:00-14:30)	제1공학관405강의실,		34	공학인증구분
1	교양필수	GEN5029-12875	커리어개발Ⅰ:취.창업진로로드맵	유호천	1	수(16:00-17:00)	제1공학관103강의실		15	공학인증구분
2	전공기초(필수)	COE3051-12285	공업수학1	김주형	3	화(13:00-14:30),금(13:00-14:30)	제1공학관204강의실,제1공학관302강의실		53	공학인증구분
2	전공핵심	CSE2010-12286	자료구조론	김지훈	3	목(15:00-16:30),목(16:30-18:00)	반도체공학과406강의실		13	
1	교양필수	CUL0201-12288	상상과학성찰	정원교	2	화(15:00-17:00)	제1공학관603강의실		43	공학인증구분
1	교양필수	CUL0204-12289	통합사고와읽기의기술	우미영	2	월(15:00-17:00)	제1공학관406강의실		45	
2	전공핵심	ECC1004-12291	회로이론1	정예환	4	화(14:30-16:00),수(14:30-16:00),금(10:00-12:00)	제2공학관정석현PC3,제2공학관정석현PC3,반도체공학과회로설계실험실(407),반도체공학과회로설계실험실(407)		9	
1	전공기초(필수)	ELE1010-12292	일반전자물리1	홍진표	3	월(10:30-12:00),수(10:30-12:00)	반도체공학과406강의실		43	
2	전공핵심	ELE4077-12293	고체전자물리개론	박재근	3	월(13:00-14:30),월(14:30-16:00)	반도체공학과406강의실		24	
1	전공기초(필수)	GEN0072-12294	일반화학및실험	최한	3	화(09:00-11:00),금(11:00-13:00)	제1공학관304강의실,자연과학관일반화학실험실4(122),자연과학관일반화학실험실3(121)		53	공학인증구분
1	전공기초(필수)	GEN2052-12295	미분적분학1	이현미	3	화(13:00-14:30),금(14:30-16:00)	자연과학관202강의실,자연과학관227강의실		42	공학인증구분
1	교양필수	GEN5029-12297	커리어개발Ⅰ:취.창업진로로드맵	김지훈	1	수(16:00-17:00)	반도체공학과406강의실		25	공학인증구분
2	전공기초(필수)	MAT2003-12298	선형대수	신동준	3	월(10:30-12:00),수(13:00-14:30)	제2공학관해동AILab_402,제2공학관502강의실		24	
2	전공핵심	PHY2013-12300	전자기학	박완준	3	목(10:30-12:00),목(13:00-14:30)	반도체공학과406강의실		26	
1	전공핵심	SCE1001-12301	반도체리더십세미나	박진섭	3	수(13:00-14:30),수(14:30-16:00)	반도체공학과406강의실		43	
2	전공기초(필수)	COE3051-12650	공업수학1	노우석	3	화(13:00-14:30),금(13:00-14:30)	제1공학관302강의실,제1공학관508강의실		62	공학인증구분
2	전공기초(필수)	COE3051-12651	공업수학1	이성열	3	화(13:00-14:30),금(13:00-14:30)	제1공학관303강의실,제1공학관208강의실		57	공학인증구분